"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02342V02816","Type of House","UNIT","VALUE"
"NDA02","New Dwelling Completions","2011","2011","-","All house types","Number","6994"
"NDA02","New Dwelling Completions","2011","2011","06","Single house","Number","4814"
"NDA02","New Dwelling Completions","2011","2011","07","Scheme house","Number","1358"
"NDA02","New Dwelling Completions","2011","2011","08","Apartment","Number","822"
"NDA02","New Dwelling Completions","2012","2012","-","All house types","Number","4911"
"NDA02","New Dwelling Completions","2012","2012","06","Single house","Number","3501"
"NDA02","New Dwelling Completions","2012","2012","07","Scheme house","Number","964"
"NDA02","New Dwelling Completions","2012","2012","08","Apartment","Number","446"
"NDA02","New Dwelling Completions","2013","2013","-","All house types","Number","4575"
"NDA02","New Dwelling Completions","2013","2013","06","Single house","Number","2947"
"NDA02","New Dwelling Completions","2013","2013","07","Scheme house","Number","1155"
"NDA02","New Dwelling Completions","2013","2013","08","Apartment","Number","473"
"NDA02","New Dwelling Completions","2014","2014","-","All house types","Number","5518"
"NDA02","New Dwelling Completions","2014","2014","06","Single house","Number","2975"
"NDA02","New Dwelling Completions","2014","2014","07","Scheme house","Number","1795"
"NDA02","New Dwelling Completions","2014","2014","08","Apartment","Number","748"
"NDA02","New Dwelling Completions","2015","2015","-","All house types","Number","7219"
"NDA02","New Dwelling Completions","2015","2015","06","Single house","Number","3252"
"NDA02","New Dwelling Completions","2015","2015","07","Scheme house","Number","3294"
"NDA02","New Dwelling Completions","2015","2015","08","Apartment","Number","673"
"NDA02","New Dwelling Completions","2016","2016","-","All house types","Number","9821"
"NDA02","New Dwelling Completions","2016","2016","06","Single house","Number","3620"
"NDA02","New Dwelling Completions","2016","2016","07","Scheme house","Number","5052"
"NDA02","New Dwelling Completions","2016","2016","08","Apartment","Number","1149"
"NDA02","New Dwelling Completions","2017","2017","-","All house types","Number","14296"
"NDA02","New Dwelling Completions","2017","2017","06","Single house","Number","4237"
"NDA02","New Dwelling Completions","2017","2017","07","Scheme house","Number","7880"
"NDA02","New Dwelling Completions","2017","2017","08","Apartment","Number","2179"
"NDA02","New Dwelling Completions","2018","2018","-","All house types","Number","17872"
"NDA02","New Dwelling Completions","2018","2018","06","Single house","Number","4671"
"NDA02","New Dwelling Completions","2018","2018","07","Scheme house","Number","10958"
"NDA02","New Dwelling Completions","2018","2018","08","Apartment","Number","2243"
"NDA02","New Dwelling Completions","2019","2019","-","All house types","Number","21126"
"NDA02","New Dwelling Completions","2019","2019","06","Single house","Number","5105"
"NDA02","New Dwelling Completions","2019","2019","07","Scheme house","Number","12537"
"NDA02","New Dwelling Completions","2019","2019","08","Apartment","Number","3484"
"NDA02","New Dwelling Completions","2020","2020","-","All house types","Number","20574"
"NDA02","New Dwelling Completions","2020","2020","06","Single house","Number","4977"
"NDA02","New Dwelling Completions","2020","2020","07","Scheme house","Number","11688"
"NDA02","New Dwelling Completions","2020","2020","08","Apartment","Number","3909"
"NDA02","New Dwelling Completions","2021","2021","-","All house types","Number","20553"
"NDA02","New Dwelling Completions","2021","2021","06","Single house","Number","4738"
"NDA02","New Dwelling Completions","2021","2021","07","Scheme house","Number","10689"
"NDA02","New Dwelling Completions","2021","2021","08","Apartment","Number","5126"
"NDA02","New Dwelling Completions","2022","2022","-","All house types","Number","29822"
"NDA02","New Dwelling Completions","2022","2022","06","Single house","Number","5515"
"NDA02","New Dwelling Completions","2022","2022","07","Scheme house","Number","15160"
"NDA02","New Dwelling Completions","2022","2022","08","Apartment","Number","9147"
