"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04530","Ireland","UNIT","VALUE"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2011","2011","IE0","Ireland","Index","118"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2012","2012","IE0","Ireland","Index","121"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2013","2013","IE0","Ireland","Index","118"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2014","2014","IE0","Ireland","Index","110"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2015","2015","IE0","Ireland","Index","104"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2016","2016","IE0","Ireland","Index","100"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2017","2017","IE0","Ireland","Index","92"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2018","2018","IE0","Ireland","Index","89"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2019","2019","IE0","Ireland","Index","86"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2020","2020","IE0","Ireland","Index","83"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2021","2021","IE0","Ireland","Index","80"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2022","2022","IE0","Ireland","Index","75"
"NDA07C01","Average New Dwelling Size Index (2016=100)","2023","2023","IE0","Ireland","Index","72"
"NDA07C02","Average New Dwelling Size","2011","2011","IE0","Ireland","Square Meters","194.9"
"NDA07C02","Average New Dwelling Size","2012","2012","IE0","Ireland","Square Meters","200.8"
"NDA07C02","Average New Dwelling Size","2013","2013","IE0","Ireland","Square Meters","196.1"
"NDA07C02","Average New Dwelling Size","2014","2014","IE0","Ireland","Square Meters","181.4"
"NDA07C02","Average New Dwelling Size","2015","2015","IE0","Ireland","Square Meters","172.7"
"NDA07C02","Average New Dwelling Size","2016","2016","IE0","Ireland","Square Meters","165.5"
"NDA07C02","Average New Dwelling Size","2017","2017","IE0","Ireland","Square Meters","152.4"
"NDA07C02","Average New Dwelling Size","2018","2018","IE0","Ireland","Square Meters","148"
"NDA07C02","Average New Dwelling Size","2019","2019","IE0","Ireland","Square Meters","141.8"
"NDA07C02","Average New Dwelling Size","2020","2020","IE0","Ireland","Square Meters","137.8"
"NDA07C02","Average New Dwelling Size","2021","2021","IE0","Ireland","Square Meters","131.9"
"NDA07C02","Average New Dwelling Size","2022","2022","IE0","Ireland","Square Meters","123.8"
"NDA07C02","Average New Dwelling Size","2023","2023","IE0","Ireland","Square Meters","119.5"
