price,floor_area,beds,baths,property_type,floor_area_unit,price_sq_mt
2300000.0,600.0,6.0,5.0,Detached,m²,3833.0
499000.0,213.0,3.0,3.0,Detached,m²,2343.0
1015000.0,154.0,4.0,3.0,Detached,m²,6591.0
550000.0,260.0,4.0,4.0,Detached,m²,2115.0
215000.0,161.0,4.0,3.0,Detached,m²,1335.0
595000.0,255.0,4.0,3.0,Detached,m²,2333.0
695000.0,316.0,7.0,4.0,Detached,m²,2199.0
295000.0,100.0,3.0,1.0,Semi-D,m²,2950.0
1700000.0,382.0,5.0,2.0,Detached,m²,4450.0
1500000.0,186.0,4.0,2.0,Semi-D,m²,8065.0
445000.0,162.0,4.0,3.0,Detached,m²,2747.0
465000.0,132.0,4.0,2.0,Detached,m²,3523.0
1450000.0,235.0,3.0,4.0,Detached,m²,6170.0
395000.0,111.0,3.0,2.0,Detached,m²,3559.0
795000.0,189.0,4.0,5.0,Semi-D,m²,4206.0
1300000.0,250.0,4.0,2.0,Detached,m²,5200.0
470000.0,204.0,4.0,3.0,Detached,m²,2304.0
400000.0,153.0,4.0,2.0,Detached,m²,2614.0
449000.0,134.0,3.0,3.0,Detached,m²,3351.0
1500000.0,520.0,5.0,7.0,Detached,m²,2885.0
265000.0,186.0,3.0,3.0,Detached,m²,1425.0
580000.0,236.0,4.0,3.0,Detached,m²,2458.0
260000.0,163.0,4.0,3.0,Semi-D,m²,1595.0
180000.0,152.0,5.0,2.0,Detached,m²,1184.0
1525000.0,231.0,4.0,4.0,Detached,m²,6602.0
445000.0,168.0,4.0,2.0,Detached,m²,2649.0
380000.0,144.0,4.0,1.0,Detached,m²,2639.0
475000.0,159.0,4.0,2.0,Detached,m²,2987.0
2600000.0,260.0,4.0,3.0,Detached,m²,10000.0
285000.0,232.0,5.0,4.0,Detached,m²,1228.0
450000.0,264.0,4.0,3.0,Detached,m²,1705.0
445000.0,244.0,5.0,4.0,Detached,m²,1824.0
180000.0,167.0,3.0,2.0,Detached,m²,1078.0
1875000.0,481.0,5.0,4.0,Detached,m²,3898.0
380000.0,132.0,4.0,3.0,Semi-D,m²,2879.0
1495000.0,286.0,5.0,6.0,Detached,m²,5227.0
290000.0,76.0,3.0,1.0,Detached,m²,3816.0
380000.0,136.0,4.0,3.0,Detached,m²,2794.0
695000.0,203.0,5.0,3.0,Detached,m²,3424.0
625000.0,418.0,8.0,4.0,Detached,m²,1495.0
425000.0,190.0,4.0,3.0,Detached,m²,2237.0
275000.0,150.0,3.0,2.0,Semi-D,m²,1833.0
750000.0,625.0,6.0,4.0,Detached,m²,1200.0
1950000.0,440.0,6.0,6.0,Detached,m²,4432.0
285000.0,212.0,4.0,3.0,Detached,m²,1344.0
295000.0,153.0,4.0,2.0,Detached,m²,1928.0
850000.0,310.0,5.0,3.0,Detached,m²,2742.0
545000.0,150.0,4.0,2.0,Detached,m²,3633.0
550000.0,372.0,5.0,5.0,Detached,m²,1478.0
495000.0,171.0,4.0,2.0,Detached,m²,2895.0
395000.0,342.0,4.0,4.0,Detached,m²,1155.0
265000.0,99.0,3.0,1.0,Semi-D,m²,2677.0
395000.0,115.0,4.0,2.0,Detached,m²,3435.0
545000.0,199.0,4.0,2.0,Detached,m²,2739.0
975000.0,380.0,4.0,3.0,Detached,m²,2566.0
