title,description
"Builders discuss the housing crisis: ‘If this was health, the patients would all be dead’","Is the Government’s newest housing initiative, announced last week, the first sign of panic that the problem will not have eased by the next general election, and so will remain a political millstone around the Coalition’s neck? And that something, anything, must be done – which always means spendin"
Michael McDowell: Local authority housing powers are a work of fiction,At the very heart of the present Government’s problems lies a radical collapse in the capacity of our organs of State to translate plans and policies into action on the ground. I was reminded of this recently when Minister for Housing Darragh O’Brien proudly informed the Seanad that house completi
Ratings agency warns on economic price of Irish housing shortages,"DBRS Morningstar, which was alone among the world’s four main credit ratings agencies to keep an A-rating on the Republic during the financial crisis, said that correcting a shortage of housing in the State is “key” for it to remain competitive in the global economy. Years of inadequate housing inve"
"Anne Enright on Dublin, A Writer’s City: every house a writer, a character, a connection","It used to be said that some people give directions by way of the pubs and some by way of the churches, and for too long, perhaps, the literary map of Ireland has been a pub crawl. Christopher Morash’s fine update on literary Dublin may begin with McDaid’s, but it soon moves beyond the powerful myth"
Cliff Taylor: Will the new housing plan work and will it lower prices?,"What has the Government done to try to get more new homes built? Its latest package is designed to change the incentives facing developers and thus increase building levels. This is to be done, first, by abolishing development contributions for the next year. These are cash payments which developers"
Q&A: Will housing plan to remove development levies benefit homebuyers?,"The removal for a period of development contributions will be a central part of today’s Government housing plan . But what are these levies and what will this mean? What are development contributions? Also known as development levies, these are paid to local authorities by developers when they bu"
Development levies to be waived to speed up house building,"The Government will assume the costs of linking up public services like water and roads to new homes as part of a new housing package that will cost “hundreds of millions of euros” and boost building rates while lowering prices for buyers, Taoiseach Leo Varadkar has said. The decision to waive devel"
Europe’s decade-long housing boom grinds to a halt,"Walking through the suburbs of Luxembourg, the evidence of a decade-long real estate boom is frozen in time. Once-rural villages have developed into satellite suburbs, the streetscape nearly unrecognisable as farmhouses gave way to geometric, glass-fronted new-build developments in gleaming white an"
"Slick design and energy efficiency at new Blackrock housing scheme from €590,000","The design-led project at Old Meadow on Avoca Avenue by Brinnin Homes is a collaboration between developer Conor Hanratty, architect Paul McCleary of Extend Architects and construction management expert and general manager of Brinnin Homes, Stevin Tedstone. “Normally people employ an architect but w"
Kerry councillors call for curbs on social housing to allow young families chance to buy,"Councillors in Kerry are calling for curbs on large social housing developments by approved housing bodies, claiming that antisocial behaviour problems will result, and advocating instead for a mix that includes options to buy. Calling for “no more than 20 per cent” of the new 67-house development a"
Healy-Raes criticise Kerry planners over rejection of Killarney housing scheme,A planning application for 12 houses in a rural area outside Killarney has been refused permission. Kerry TD Danny Healy-Rae who made representations in support of the application at Faha East between Killarney and Milltown said the houses at the rear of an Equestrian Club at would have been modestl
Housing supply and planning issues,"Sir, – I’d like for the Government to explain to us all how transferring some of the artificial price increase (not value) of rezoned land to the Exchequer will make houses more affordable for home purchasers. Sharing windfall profits with landowners won’t reduce costs for housing. The tax will mere"
My niece’s offer to buy my late mother’s house is being blocked by my sister. What should we do?,"I wonder if you could help with a problem. My mother died about 12 years ago and her will stated that we sell the house and divide the proceeds. The will was eventually sorted out a few months ago and, in the meantime, the executor’s daughter has decided to buy the house. She has been saving for it "
State should be building houses and not buying existing ones,"At present, 90 per cent of retired people own their own homes. The Economic and Social Research Institute projects that, on current trends, only half of people who are currently aged between 25 and 34 will own their own homes when they retire. That means that the other 50 per cent will be renting ei"
The Irish Times view on the housing debate: Coalition needs to mind its language,"The Coalition needs to mind its language on housing. A few weeks ago senior Ministers were claiming that the Government had turned a corner in addressing the crisis. Over the Easter weekend, the Taoiseach amended this to being on “the cusp of changing”. Neither version is convincing. The Government "
Cliff Taylor: A generation is stuck living at home due to the long-term housing shortage,"Sometimes a lot of history can lurk behind one statistic. This week, the Central Statistics Office said that the average age at which people bought a home in Ireland has risen to 39 , from 36 in 2016. You pull at the threads of this one figure and a much bigger and longer-term story appears. And it"
Housing crisis and social disruption,"Sir, – The policy that shifted provision of social and affordable housing to the market has failed spectacularly and the result is untold misery and damage to a whole generation. It is not in the common interest to see large numbers of citizens having to rent in the private market to access a roof o"
"UK house prices rose unexpectedly in March, says Halifax","UK house prices rose unexpectedly in March, # the lender Halifax, bucking the falling trend elsewhere in the property market, with resilience spurred by an easing of mortgage rates and the tight labour market. House prices increased by 0.8 per cent between February and March, data showed on Thursday"
‘Old houses like that are a money pit’: Diary of a  first-time homeowner’s renovation project,"After starting to seriously consider doing up the house, the same bit of advice kept coming up – speak to as many people with knowhow as possible before making any big decisions. Listening can be a tiresome task, but given neither of us came in knowing much about undertaking a major renovation proje"
The business of providing housing,"Sir, – People who buy houses and rent them out are not in the business of providing housing. They are speculative investors who are able to extract unearned income from their investment which in turn pays for the investment. When renters have paid off the mortgage, the speculative investor takes ful"
UK house prices fall quicker than expected with higher rates,"UK house prices fell at the sharpest annual pace since 2009 after surging interest rates increased the cost of borrowing, one of the biggest mortgage lenders said. The average cost of a home fell 3.1 per cent from a year ago in March, steeper than the 2.2 per cent drop expected by economists, Nation"
Ireland’s housing crisis facts and figures: All you need to know,"The housing crisis in Ireland is complicated – whether you’re a tenant, a prospective house buyer, a landlord or a homeowner considering selling. Here, we provide a breakdown of the facts and figures around it. Homelessness The most striking figure when discussing housing in the State is the numbe"
Crazy house prices: ‘I think it’s starting to resonate that millennials aren’t just complaining’,"It is not unusual for angry people to take to social media platforms to express their outrage about how crazy things are getting, whatever those things might be. It is, however, most unusual to see an angry tweet or Instagram post plant a seed that blossoms into a resource and then a community offe"
How do you solve a problem like Ireland’s housing crisis?,"Sorting the housing crisis has become a little like solving the famous mathematical problem, Fermat’s Last Theorem: complex; complicated, and one that has proved nearly impossible to solve. In November 2014, the then housing minister Alan Kelly announced a €3.8 billion plan to build 35,000 new socia"
"Housing crisis greatest concern in Ireland, EU research suggests","Housing is the single biggest issue facing Irish society with 52 per cent of people citing it as a key concern compared with an EU average of just 8 per cent, according to research published on Tuesday. Rising inflation is the second most serious issue identified in the latest Eurobarometer report, "
State’s woefully under-resourced planning system at heart of housing problem,"So many things in Ireland don’t seem to be a problem until they’re a crisis. The Government seems to be in a perennial state of reacting to things that have already spun out of control. Housing and emergency-department overcrowding are the obvious ones but there are major bottlenecks in transport, w"
Letters: Readers respond to Sally Rooney’s article on evictions and the housing crisis,"On Saturday, author Sally Rooney wrote an article for The Irish Times with the headline ‘Renters are being exploited and evictions must be stopped’. Since its publication, many readers have responded in the letters page. Below is a selection of those. You can read the full article here: Sally Roone"
The housing crisis – security of tenure,"Sir, – In the conversation around protections for renters in recent days, one class remains almost entirely unmentioned. Those who rent a room rather than a home: house-sharers or lodgers are invisible in this discussion. With a housing crisis now stretching over a decade, it is not unusual for peop"
After a pandemic surge are house prices finally going to fall?,"Price growth in the State’s housing market continues to slow in the face of higher borrowing costs and wider inflationary pressures. Will it turn negative? There’s mounting evidence that it will. Daft.ie’s latest housing market report indicates that asking prices, as distinct from actual prices pa"
Young Portuguese defer dreams as housing crisis bites,"When Maria Lopes moved to Lisbon from the northern Portuguese city of Tondela, her goals were straightforward: study, find a job, get a place of her own. But a decade on, she still lives in a tiny, rented room – one of tens of thousands of young Portuguese hit by a housing crisis exacerbated by the "
"House prices and rents expected to continue increasing, committee told","House prices and rents are expected to continue increasing with demand exceeding supply in the medium term, the Oireachtas Committee on Budgetary Oversight has heard. Dr Kieran McQuinn of the Economic and Social Research Institute (ESRI) outlined economic data indicating a more positive general outl"
"Woman gets €120,000 in compensation after bank puts house on market without telling her","The Financial Services and Pensions Ombudsman (FSPO) upheld or presided over the settling of 212 complaints it investigated against firms last year, with compensation in one case reaching €120,000 after a bank placed a house on the market without notifying the owner. The organisation said that 629 c"
The housing crisis – supply and demand,"A chara, – Tánaiste Micheál Martin says that the State is “without question’' turning the corner in the respect of new house builds. The issue is simply that there are not enough new houses available. Mr Martin has been in politics for a long long time, and one wonders does he really understand how "
Letters: Readers respond to the political and social consequences of the housing crisis,"Sir, – Regarding “ The Irish Times view on the eviction ban debate: the Government walks into trouble ” (March 22nd), you note that the Government continues to rely, as a solution to a pending eviction, upon offering tenants first refusal to buy properties being sold by the landlords. How can this b"
The reality of renting in Ireland: A shared room in a house with 20 tenants for €760 a month,"Figures about average monthly rents in the State seem distant, until they become real. If you were told that to rent a shared en suite room with one other person in a house in Dublin city would cost you €760 a month, would you be shocked? If you then found out that the house had 20 tenants, all cram"
