DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-01,47.7,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-02,47.6,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-03,47.7,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-04,47.8,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-05,49.6,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-06,49.6,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-07,49.7,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-08,49.8,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-09,49.8,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-10,49.9,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-11,50.0,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990-12,50.0,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991-01,50.3,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991-02,50.3,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991-03,50.2,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991-04,50.3,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991-05,51.7,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991-06,51.6,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991-07,51.8,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991-08,51.7,s
