month,country,residential_price_index,perc_change_prev,perc_change_yoy
2001-01-01,AT,68.0,0.3,2.4
2001-01-01,ES,70.1,1.2,3.7
2001-01-01,FI,73.1,0.1,2.8
2001-01-01,IE,73.3,2.9,22.6
2001-01-01,LT,62.8,-1.7,0.6
2001-01-01,NL,76.4,1.2,3.9
2001-01-01,NO,60.1,1.0,5.3
2001-01-01,PL,82.4,0.7,4.8
2001-01-01,PT,74.8,-1.7,-2.2
2001-02-01,AT,68.0,0.0,2.3
2001-02-01,ES,70.3,0.3,3.5
2001-02-01,FI,73.8,1.0,3.4
2001-02-01,IE,73.9,0.8,23.6
2001-02-01,LT,62.9,0.2,1.0
2001-02-01,NL,76.5,0.1,4.1
2001-02-01,NO,60.4,0.5,5.4
2001-02-01,PL,82.9,0.6,5.2
2001-02-01,PT,74.8,0.0,-1.8
2001-03-01,AT,68.0,0.0,2.3
2001-03-01,ES,70.3,0.0,3.2
2001-03-01,FI,73.9,0.1,3.1
2001-03-01,IE,74.5,0.8,21.7
2001-03-01,LT,62.7,-0.3,0.5
2001-03-01,NL,76.5,0.0,3.9
2001-03-01,NO,60.5,0.2,5.2
2001-03-01,PL,83.1,0.2,4.3
2001-03-01,PT,75.0,0.3,-2.2
2001-04-01,AT,68.2,0.3,2.4
2001-04-01,ES,70.5,0.3,3.4
2001-04-01,FI,74.4,0.7,3.3
2001-04-01,IE,75.2,0.9,20.1
2001-04-01,LT,63.4,1.1,0.0
2001-04-01,NL,77.4,1.2,4.6
2001-04-01,NO,60.6,0.2,5.2
2001-04-01,PL,83.0,-0.1,3.4
2001-04-01,PT,76.1,1.5,0.7
2001-05-01,AT,69.0,1.2,2.7
2001-05-01,ES,70.6,0.1,3.2
2001-05-01,FI,74.5,0.1,2.8
2001-05-01,IE,75.2,0.0,17.3
2001-05-01,LT,62.6,-1.3,-1.6
2001-05-01,NL,77.7,0.4,5.0
2001-05-01,NO,60.6,0.0,5.2
2001-05-01,PL,83.3,0.4,3.2
2001-05-01,PT,76.2,0.1,0.5
2001-06-01,AT,69.0,0.0,2.7
2001-06-01,ES,70.5,-0.1,2.8
2001-06-01,FI,74.8,0.4,2.9
2001-06-01,IE,75.5,0.4,17.2
2001-06-01,LT,63.0,0.6,-1.7
2001-06-01,NL,77.9,0.3,5.3
2001-06-01,NO,60.7,0.2,5.0
2001-06-01,PL,83.2,-0.1,2.6
